TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE
INFORMATION_SCHEMA,CLASS_INSTANCE_PROCEDURES,PROCEDURE_OWNER,5,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,CLASS_INSTANCE_PROCEDURES,ARGUMENT_SIGNATURE,6,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,CLASS_INSTANCE_PROCEDURES,DATA_TYPE,7,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,CLASS_INSTANCE_PROCEDURES,CHARACTER_MAXIMUM_LENGTH,8,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,CLASS_INSTANCE_PROCEDURES,CHARACTER_OCTET_LENGTH,9,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,CLASS_INSTANCE_PROCEDURES,NUMERIC_PRECISION,10,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,CLASS_INSTANCE_PROCEDURES,NUMERIC_PRECISION_RADIX,11,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,CLASS_INSTANCE_PROCEDURES,NUMERIC_SCALE,12,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,CLASS_INSTANCE_PROCEDURES,PROCEDURE_LANGUAGE,13,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,CLASS_INSTANCE_PROCEDURES,PROCEDURE_DEFINITION,14,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,CLASS_INSTANCE_PROCEDURES,CREATED,15,,YES,TIMESTAMP_LTZ,,,
INFORMATION_SCHEMA,CLASS_INSTANCE_PROCEDURES,LAST_ALTERED,16,,YES,TIMESTAMP_LTZ,,,
INFORMATION_SCHEMA,CLASS_INSTANCE_PROCEDURES,COMMENT,17,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,TABLE_CATALOG,1,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,TABLE_SCHEMA,2,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,TABLE_NAME,3,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,COLUMN_NAME,4,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,ORDINAL_POSITION,5,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,COLUMNS,COLUMN_DEFAULT,6,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,IS_NULLABLE,7,,YES,TEXT,3.0,,
INFORMATION_SCHEMA,COLUMNS,DATA_TYPE,8,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,CHARACTER_MAXIMUM_LENGTH,9,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,COLUMNS,CHARACTER_OCTET_LENGTH,10,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,COLUMNS,NUMERIC_PRECISION,11,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,COLUMNS,NUMERIC_PRECISION_RADIX,12,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,COLUMNS,NUMERIC_SCALE,13,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,COLUMNS,DATETIME_PRECISION,14,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,COLUMNS,INTERVAL_TYPE,15,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,INTERVAL_PRECISION,16,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,COLUMNS,CHARACTER_SET_CATALOG,17,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,CHARACTER_SET_SCHEMA,18,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,CHARACTER_SET_NAME,19,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,COLLATION_CATALOG,20,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,COLLATION_SCHEMA,21,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,COLLATION_NAME,22,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,DOMAIN_CATALOG,23,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,DOMAIN_SCHEMA,24,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,DOMAIN_NAME,25,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,UDT_CATALOG,26,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,UDT_SCHEMA,27,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,UDT_NAME,28,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,SCOPE_CATALOG,29,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,SCOPE_SCHEMA,30,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,SCOPE_NAME,31,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,MAXIMUM_CARDINALITY,32,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,COLUMNS,DTD_IDENTIFIER,33,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,IS_SELF_REFERENCING,34,,YES,TEXT,3.0,,
INFORMATION_SCHEMA,COLUMNS,IS_IDENTITY,35,,YES,TEXT,3.0,,
INFORMATION_SCHEMA,COLUMNS,IDENTITY_GENERATION,36,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,IDENTITY_START,37,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,IDENTITY_INCREMENT,38,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,IDENTITY_MAXIMUM,39,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,IDENTITY_MINIMUM,40,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,IDENTITY_CYCLE,41,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,IDENTITY_ORDERED,42,,YES,TEXT,3.0,,
INFORMATION_SCHEMA,COLUMNS,SCHEMA_EVOLUTION_RECORD,43,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,COLUMNS,COMMENT,44,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,CURRENT_PACKAGES_POLICY,NAME,1,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,CURRENT_PACKAGES_POLICY,LANGUAGE,2,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,CURRENT_PACKAGES_POLICY,ALLOWLIST,3,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,CURRENT_PACKAGES_POLICY,BLOCKLIST,4,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,CURRENT_PACKAGES_POLICY,ADDITIONAL_CREATION_BLOCKLIST,5,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,CURRENT_PACKAGES_POLICY,COMMENT,6,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,DATABASES,DATABASE_NAME,1,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,DATABASES,DATABASE_OWNER,2,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,DATABASES,IS_TRANSIENT,3,,YES,TEXT,3.0,,
INFORMATION_SCHEMA,DATABASES,COMMENT,4,,YES,TEXT,16777216.0,,
INFORMATION_SCHEMA,DATABASES,CREATED,5,,YES,TIMESTAMP_LTZ,,,
INFORMATION_SCHEMA,DATABASES,LAST_ALTERED,6,,YES,TIMESTAMP_LTZ,,,
INFORMATION_SCHEMA,DATABASES,RETENTION_TIME,7,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,DATABASES,TYPE,8,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,ELEMENT_TYPES,OBJECT_CATALOG,1,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,ELEMENT_TYPES,OBJECT_SCHEMA,2,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,ELEMENT_TYPES,OBJECT_NAME,3,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,ELEMENT_TYPES,OBJECT_TYPE,4,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,ELEMENT_TYPES,COLLECTION_TYPE_IDENTIFIER,5,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,ELEMENT_TYPES,DATA_TYPE,6,,NO,TEXT,16777216.0,,
INFORMATION_SCHEMA,ELEMENT_TYPES,CHARACTER_MAXIMUM_LENGTH,7,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,ELEMENT_TYPES,CHARACTER_OCTET_LENGTH,8,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,ELEMENT_TYPES,NUMERIC_PRECISION,9,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,ELEMENT_TYPES,NUMERIC_PRECISION_RADIX,10,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,ELEMENT_TYPES,NUMERIC_SCALE,11,,YES,NUMBER,,9.0,0.0
INFORMATION_SCHEMA,ELEMENT_TYPES,DATETIME_PRECISION,12,,YES,NUMBER,,9.0,0.0
